time,open,high,low,close,tick_volume,spread
1344211200,13164.0,13177.0,13164.0,13174.0,325,0
1344297600,13115.0,13217.0,13103.0,13164.0,7530,0
1344384000,13163.0,13203.0,13092.0,13158.0,7768,0
1344470400,13157.0,13227.0,13125.0,13175.0,7782,0
1344556800,13178.0,13178.0,13135.0,13141.0,7210,0
1344816000,13203.0,13221.0,13112.0,13166.0,7093,0
1344902400,13165.0,13226.0,13143.0,13144.0,7370,0
1344988800,13143.0,13192.0,13122.0,13160.0,6314,0
1345075200,13162.0,13271.0,13143.0,13246.0,7015,0
1345161600,13247.0,13254.0,13236.0,13242.0,5936,0
1345420800,13273.0,13282.0,13227.0,13257.0,6018,0
1345507200,13256.0,13331.0,13185.0,13201.0,6729,0
1345593600,13200.0,13211.0,13119.0,13176.0,7918,0
1345680000,13175.0,13226.0,13045.0,13063.0,8043,0
1345766400,13065.0,13070.0,13053.0,13065.0,6491,0
1346025600,13185.0,13197.0,13117.0,13125.0,5946,0
1346112000,13126.0,13149.0,13080.0,13112.0,7232,0
1346198400,13113.0,13146.0,13078.0,13090.0,6190,0
1346284800,13091.0,13094.0,12976.0,12983.0,6282,0
1346371200,12986.0,13004.0,12980.0,12996.0,8151,0
1346630400,13094.0,13115.0,13024.0,13100.0,3843,0
1346716800,13101.0,13127.0,12975.0,13042.0,7324,0
1346803200,13040.0,13095.0,12990.0,13052.0,7950,0
1346889600,13053.0,13295.0,13048.0,13282.0,8103,0
1346976000,13281.0,13293.0,13277.0,13290.0,7799,0
1347235200,13290.0,13322.0,13221.0,13235.0,5756,0
1347321600,13237.0,13354.0,13198.0,13288.0,6355,0
1347408000,13289.0,13378.0,13286.0,13354.0,8264,0
1347494400,13353.0,13575.0,13325.0,13538.0,8767,0
1347580800,13539.0,13554.0,13536.0,13547.0,7058,0
1347840000,13569.0,13590.0,13527.0,13548.0,5170,0
1347926400,13549.0,13583.0,13499.0,13576.0,4859,0
1348012800,13577.0,13630.0,13553.0,13572.0,5169,0
1348099200,13571.0,13604.0,13498.0,13595.0,7311,0
1348185600,13594.0,13629.0,13594.0,13624.0,7329,0
1348444800,13574.0,13604.0,13509.0,13569.0,6901,0
1348531200,13570.0,13621.0,13460.0,13478.0,7362,0
1348617600,13479.0,13498.0,13406.0,13436.0,7183,0
1348704000,13438.0,13525.0,13416.0,13495.0,7720,0
1348790400,13494.0,13501.0,13478.0,13491.0,8348,0
1349049600,13409.0,13597.0,13384.0,13503.0,8886,0
1349136000,13504.0,13567.0,13418.0,13470.0,8629,0
1349222400,13469.0,13537.0,13429.0,13525.0,8021,0
1349308800,13524.0,13598.0,13501.0,13568.0,8411,0
1349395200,13569.0,13582.0,13565.0,13576.0,7479,0
1349654400,13589.0,13605.0,13540.0,13566.0,6997,0
1349740800,13567.0,13609.0,13455.0,13456.0,8700,0
1349827200,13457.0,13481.0,13292.0,13301.0,8781,0
1349913600,13300.0,13428.0,13299.0,13343.0,7253,0
1350000000,13344.0,13401.0,13294.0,13312.0,7943,0
1350259200,13288.0,13436.0,13280.0,13429.0,7558,0
1350345600,13428.0,13555.0,13411.0,13519.0,7334,0
1350432000,13518.0,13562.0,13493.0,13542.0,7528,0
1350518400,13543.0,13590.0,13512.0,13543.0,7903,0
1350604800,13544.0,13556.0,13538.0,13540.0,8304,0
1350864000,13314.0,13368.0,13233.0,13359.0,8551,0
1350950400,13358.0,13372.0,13080.0,13109.0,9757,0
1351036800,13108.0,13154.0,13060.0,13085.0,9120,0
1351123200,13083.0,13160.0,13034.0,13095.0,9937,0
1351209600,13096.0,13097.0,13060.0,13061.0,10246,0
1351468800,13078.0,13103.0,13010.0,13016.0,4144,0
1351555200,13017.0,13140.0,12989.0,13123.0,4411,0
1351641600,13124.0,13186.0,13044.0,13060.0,9072,0
